Dataset,Baseline Acc,Baseline F1,Proposed Acc,Proposed F1
PKLot,0.0,0.0,0.0,0.0
CNRPark-EXT,0.9444,0.9444,0.9333,0.9332
ParkingSlot,0.9889,0.9889,0.9889,0.9889
Combined,0.9444,0.9444,0.9444,0.9444
